,Sample.Name,Phylum,Class,Order,Family,Genus,Normalized.Counts
234,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,8.339384826
235,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,0.032380685
237,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.469997202
238,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.96921779
242,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.687704077
243,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,3.053770294
244,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,0.119022882
254,FS891_RNA,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,54.17479549
266,FS891_RNA,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,0.095526693
268,FS891_RNA,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,0.128494783
269,FS891_RNA,Euryarchaeota,Thermoplasmata,Marine_Group_III,Marine_Group_III_fa,Marine_Group_III_ge,0.069313757
272,FS891_RNA,Euryarchaeota,Thermoplasmata,Thermoplasmata_unclassified,Thermoplasmata_unclassified,Thermoplasmata_unclassified,0.101180463
290,FS891_RNA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,0.196119751
315,FS891_RNA,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,0.048093762
318,FS891_RNA,Lentisphaerae,Lentisphaeria,Victivallales,BD2-3,BD2-3_ge,0.058740472
327,FS891_RNA,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,0.150816162
330,FS891_RNA,MAST-3,MAST-3_unclassified,MAST-3_unclassified,MAST-3_unclassified,MAST-3_unclassified,0.032600962
338,FS891_RNA,Mollusca,Gastropoda,Caenogastropoda,Caenogastropoda_fa,Caenogastropoda_ge,0.067845245
341,FS891_RNA,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,4.438797201
343,FS891_RNA,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,0.065862754
347,FS891_RNA,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.638068378
350,FS891_RNA,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,0.042219714
355,FS891_RNA,Ochrophyta,Chrysophyceae,Chrysophyceae_unclassified,Chrysophyceae_unclassified,Chrysophyceae_unclassified,0.065422201
357,FS891_RNA,Ochrophyta,Chrysophyceae,uncultured,uncultured_fa,uncultured_ge,0.050223104
364,FS891_RNA,Ochrophyta,Ochrophyta_cl,Ochrophyta_or,Ochrophyta_fa,Bolidomonas,0.051030785
365,FS891_RNA,Ochrophyta,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,0.054922341
374,FS891_RNA,Patescibacteria,Gracilibacteria,Gracilibacteria_or,Gracilibacteria_fa,Gracilibacteria_ge,0.030031066
376,FS891_RNA,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22_fa,JGI_0000069-P22_ge,0.093617627
377,FS891_RNA,Patescibacteria,Microgenomatia,Candidatus_Pacebacteria,Candidatus_Pacebacteria_fa,Candidatus_Pacebacteria_ge,0.020118612
386,FS891_RNA,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,0.054555213
389,FS891_RNA,PAUC34f,PAUC34f_cl,PAUC34f_or,PAUC34f_fa,PAUC34f_ge,0.049048294
397,FS891_RNA,Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,0.072177355
407,FS891_RNA,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,0.045377015
411,FS891_RNA,Planctomycetes,Pla3_lineage,Pla3_lineage_or,Pla3_lineage_fa,Pla3_lineage_ge,0.178277333
416,FS891_RNA,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,0.065422201
417,FS891_RNA,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,0.047432931
426,FS891_RNA,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,0.061530645
428,FS891_RNA,Poribacteria,Poribacteria_cl,Poribacteria_or,Poribacteria_fa,Poribacteria_ge,0.044863036
435,FS891_RNA,Protalveolata,Syndiniales,Syndiniales_or,Syndiniales_Group_III,Syndiniales_Group_III_ge,0.055362895
438,FS891_RNA,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,0.049341997
474,FS891_RNA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_ge,0.063880263
480,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,0.063733412
482,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,0.041852586
483,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,uncultured,0.030545045
484,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,0.078859084
486,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_clade_unclassified,SAR11_clade_unclassified,0.192521897
503,FS891_RNA,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,0.12320814
507,FS891_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacteraceae_unclassified,0.040971479
512,FS891_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,0.033335218
513,FS891_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,0.040677777
543,FS891_RNA,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,0.039356116
546,FS891_RNA,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B)_fa,SAR324_clade(Marine_group_B)_ge,0.325055088
554,FS891_RNA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,0.040604351
563,FS891_RNA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,0.050076252
566,FS891_RNA,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,0.04728608
567,FS891_RNA,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,0.084512854
573,FS891_RNA,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithioploca,0.060869814
575,FS891_RNA,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Parabeggiatoa,0.03047162
577,FS891_RNA,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,0.064173966
582,FS891_RNA,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionellaceae_unclassified,0.116452986
615,FS891_RNA,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1.626009694
645,FS891_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,2.099457899
646,FS891_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,2.021993901
658,FS891_RNA,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.333058477
663,FS891_RNA,Prymnesiophyceae,Prymnesiales,Prymnesiales_or,Prymnesiales_fa,Prymnesiales_fa_unclassified,0.032233834
692,FS891_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,0.072250781
693,FS891_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,1.325992732
694,FS891_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,0.172476711
698,FS891_RNA,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,uncultured,0.149494502
708,FS891_RNA,Tunicata,Thaliacea,Salpida,Salpida_fa,Salpida_ge,0.076876593
711,FS891_RNA,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,0.051030785
746,FS903_30_12H,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,0.007598875
747,FS903_30_12H,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,0.011499902
754,FS903_30_12H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.007842689
760,FS903_30_12H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,3.408075248
792,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,0.454002322
794,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,6.428079592
799,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.017351442
801,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.02757132
806,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.122496308
808,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,70.74374093
809,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,0.829069802
811,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.046040244
819,FS903_30_12H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,17.12420768
824,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.069141638
825,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.065504743
826,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,0.242330977
827,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,0.043784963
828,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.007233154
853,FS903_30_12H,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,0.014994572
862,FS903_30_12H,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22_fa,JGI_0000069-P22_ge,0.008350636
885,FS903_30_12H,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,0.016965403
896,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,0.023832836
898,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacteraceae_unclassified,0.007598875
902,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,0.007822372
903,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,0.00802555
908,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobiaceae_unclassified,0.028790391
909,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,0.010016699
910,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,0.007923961
912,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionales_unclassified,Desulfovibrionales_unclassified,0.033544768
927,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithioploca,0.009549389
933,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0.019708313
949,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.07186423
953,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.053293716
960,FS903_30_12H,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.022146455
997,FS903_30_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,2.053118477
1061,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,0.173695082
1064,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,4.958941812
1069,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.011758219
1071,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.017871298
1076,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,0.004500182
1077,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.028892762
1078,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,0.00823374
1079,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,52.21204858
1080,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,1.030790604
1082,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.024581747
1089,FS903_30_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,39.26921623
1094,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.025059642
1095,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.014595723
1096,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,0.087644033
1097,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,0.015471865
1184,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,0.008930671
1197,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,0.00383312
1198,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,0.003484654
1205,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobiaceae_unclassified,0.016736297
1213,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionales_unclassified,Desulfovibrionales_unclassified,0.004071203
1268,FS903_30_12L,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.003651417
1290,FS903_30_12L,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.003398097
1320,FS903_30_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,2.533641343
1343,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,0.418850977
1345,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,6.363058836
1349,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.007169224
1351,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.010529265
1352,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,0.003451006
1357,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.004070709
1358,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,0.016351062
1359,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,46.04769939
1360,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,2.35907841
1367,FS903_30_13H,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.006691655
1368,FS903_30_13H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,42.18722284
1372,FS903_30_13H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.016214613
1374,FS903_30_13H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,0.00848254
1376,FS903_30_13H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.004144619
1463,FS903_30_13H,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.002166118
1471,FS903_30_13H,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Hydrogenovibrio,0.005406766
1474,FS903_30_13H,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrospiraceae_unclassified,0.005770628
1498,FS903_30_13L,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,0.016411369
1499,FS903_30_13L,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,0.032556429
1504,FS903_30_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.015046529
1506,FS903_30_13L,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.037116992
1520,FS903_30_13L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,4.607600162
1521,FS903_30_13L,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,0.013348802
1529,FS903_30_13L,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,0.021770863
1577,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,1.007851159
1580,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,8.505982826
1583,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,uncultured,0.013481957
1584,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.016644391
1586,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.027429956
1590,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,0.02569894
1591,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.269905443
1592,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,0.013481957
1593,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,64.6015416
1594,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,2.604148115
1596,FS903_30_13L,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.081457649
