"","sample_names.1.","Phylum","Class","Order","Family","Genus","Species","SUM"
"18","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified",NA,2
"19","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales_unclassified","Micrococcales_unclassified",NA,1
"20","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA,139
"21","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacteriaceae_unclassified",NA,16
"22","FS891_RNA_merged_rRNA.nr_v132","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified","Actinobacteria_unclassified",NA,12
"23","FS891_RNA_merged_rRNA.nr_v132","Aegiribacteria","Aegiribacteria_cl","Aegiribacteria_or","Aegiribacteria_fa","Aegiribacteria_ge",NA,23
"24","FS891_RNA_merged_rRNA.nr_v132","Altiarchaeota","Altiarchaeia","Altiarchaeia_or","Altiarchaeia_fa","Altiarchaeia_ge",NA,11
"25","FS891_RNA_merged_rRNA.nr_v132","AncK6","AncK6_cl","AncK6_or","AncK6_fa","AncK6_ge",NA,245
"26","FS891_RNA_merged_rRNA.nr_v132","Annelida","Annelida_unclassified","Annelida_unclassified","Annelida_unclassified","Annelida_unclassified",NA,208
"27","FS891_RNA_merged_rRNA.nr_v132","Annelida","Polychaeta","Phyllodocida","Phyllodocida_fa","Phyllodocida_ge",NA,3
"28","FS891_RNA_merged_rRNA.nr_v132","Annelida","Polychaeta","Polychaeta_unclassified","Polychaeta_unclassified","Polychaeta_unclassified",NA,1084
"29","FS891_RNA_merged_rRNA.nr_v132","Annelida","Polychaeta","Sabellida","Sabellida_fa","Sabellida_ge",NA,863
"30","FS891_RNA_merged_rRNA.nr_v132","Annelida","Polychaeta","Terebellida","Terebellida_fa","Terebellida_ge",NA,3163
"31","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae","Aquificae_unclassified","Aquificae_unclassified","Aquificae_unclassified",NA,784
"32","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae","Aquificales","Aquificaceae","Aquifex",NA,182
"33","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae","Aquificales","Aquificaceae","Aquificaceae_unclassified",NA,2853
"34","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae","Aquificales","Aquificales_unclassified","Aquificales_unclassified",NA,1193
"35","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae","Hydrogenothermales","Hydrogenothermaceae","Hydrogenothermaceae_unclassified",NA,6
"36","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae","Hydrogenothermales","Hydrogenothermaceae","Persephonella",NA,32
"37","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Aquificae_unclassified","Aquificae_unclassified","Aquificae_unclassified","Aquificae_unclassified",NA,718
"38","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Desulfurobacteriia","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacteriaceae_unclassified",NA,6209
"39","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Desulfurobacteriia","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacterium",NA,757
"40","FS891_RNA_merged_rRNA.nr_v132","Aquificae","Desulfurobacteriia","Desulfurobacteriales","Desulfurobacteriaceae","Thermovibrio",NA,1546
"41","FS891_RNA_merged_rRNA.nr_v132","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified",NA,4290
"42","FS891_RNA_merged_rRNA.nr_v132","Arthropoda","Arthropoda_unclassified","Arthropoda_unclassified","Arthropoda_unclassified","Arthropoda_unclassified",NA,128
"43","FS891_RNA_merged_rRNA.nr_v132","Arthropoda","Malacostraca","Eucarida_or","Eucarida_fa","Eucarida_ge",NA,48
"44","FS891_RNA_merged_rRNA.nr_v132","Arthropoda","Maxillopoda","Calanoida","Calanoida_fa","Calanoida_ge",NA,840
"45","FS891_RNA_merged_rRNA.nr_v132","Arthropoda","Maxillopoda","Cyclopoida","Cyclopoida_fa","Cyclopoida_ge",NA,1
"46","FS891_RNA_merged_rRNA.nr_v132","Arthropoda","Maxillopoda","Harpacticoida","Harpacticoida_fa","Harpacticoida_ge",NA,5
"47","FS891_RNA_merged_rRNA.nr_v132","Arthropoda","Maxillopoda","Maxillopoda_unclassified","Maxillopoda_unclassified","Maxillopoda_unclassified",NA,303
"48","FS891_RNA_merged_rRNA.nr_v132","Ascomycota","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified",NA,2
"49","FS891_RNA_merged_rRNA.nr_v132","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unclassified","Pleosporales_unclassified",NA,4
"50","FS891_RNA_merged_rRNA.nr_v132","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillaceae_unclassified",NA,19
"51","FS891_RNA_merged_rRNA.nr_v132","Ascomycota","Eurotiomycetes","Eurotiales","Eurotiales_unclassified","Eurotiales_unclassified",NA,26
"52","FS891_RNA_merged_rRNA.nr_v132","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces",NA,26
"53","FS891_RNA_merged_rRNA.nr_v132","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Trichocomaceae_unclassified",NA,1
"54","FS891_RNA_merged_rRNA.nr_v132","Asgardaeota","Asgardaeota_unclassified","Asgardaeota_unclassified","Asgardaeota_unclassified","Asgardaeota_unclassified",NA,80
"55","FS891_RNA_merged_rRNA.nr_v132","Asgardaeota","Heimdallarchaeia","Heimdallarchaeia_or","Heimdallarchaeia_fa","Heimdallarchaeia_ge",NA,35
"56","FS891_RNA_merged_rRNA.nr_v132","Asgardaeota","Odinarchaeia","Odinarchaeia_or","Odinarchaeia_fa","Odinarchaeia_ge",NA,48
"57","FS891_RNA_merged_rRNA.nr_v132","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",NA,71152
"58","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified",NA,104
"59","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,1
"60","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified",NA,676
"61","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2_ge",NA,231
"62","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17_ge",NA,1
"63","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Ika33","Ika33_ge",NA,10
"64","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","LKC2.127-25","LKC2.127-25_ge",NA,17
"65","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Marinifilaceae_unclassified",NA,1
"66","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Marinifilum",NA,293
"67","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured",NA,69
"68","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Carboxylicivirga",NA,253
"69","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Marinilabiliaceae_unclassified",NA,70
"70","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium",NA,143
"71","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Prolixibacteraceae_ge",NA,1
"72","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Prolixibacteraceae_unclassified",NA,111
"73","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus",NA,71
"74","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella",NA,1
"75","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidetes_VC2.1_Bac22","Bacteroidetes_VC2.1_Bac22_fa","Bacteroidetes_VC2.1_Bac22_ge",NA,891
"76","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified",NA,4583
"77","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagales_unclassified","Chitinophagales_unclassified",NA,21
"78","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,50
"79","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella",NA,2
"80","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Rubidimonas",NA,25
"81","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified",NA,100
"82","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured",NA,41
"83","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Amoebophilaceae_unclassified",NA,17
"84","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Cyclobacteriaceae_unclassified",NA,96
"85","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",NA,83
"86","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured",NA,20
"87","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified",NA,152
"88","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia",NA,5
"89","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomicaceae_unclassified",NA,10
"90","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA,18
"91","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10_marine_group",NA,152
"92","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured",NA,67
"93","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Cellulophaga",NA,1
"94","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Croceibacter",NA,1
"95","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified",NA,361
"96","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,1
"97","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA,73
"98","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas",NA,31
"99","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA,23
"100","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group",NA,2
"101","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA,23
"102","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA,1
"103","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Pseudofulvibacter",NA,39
"104","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,6
"105","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured",NA,84
"106","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriales_unclassified","Flavobacteriales_unclassified",NA,360
"107","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","NS7_marine_group","NS7_marine_group_ge",NA,25
"108","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge",NA,1101
"109","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksellaceae_unclassified",NA,8
"110","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Sphingobacteriales","KD3-93","KD3-93_ge",NA,40
"111","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",NA,102
"112","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA,6
"113","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacteriaceae_unclassified",NA,1
"114","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriales_unclassified","Sphingobacteriales_unclassified",NA,31
"115","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Ignavibacteria","Ignavibacteria_unclassified","Ignavibacteria_unclassified","Ignavibacteria_unclassified",NA,11
"116","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Ignavibacteriales_unclassified","Ignavibacteriales_unclassified",NA,124
"117","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7",NA,228
"118","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","Melioribacteraceae_unclassified",NA,21
"119","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Ignavibacteria","OPB56","OPB56_fa","OPB56_ge",NA,80
"120","FS891_RNA_merged_rRNA.nr_v132","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured",NA,28
"121","FS891_RNA_merged_rRNA.nr_v132","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA,1
"122","FS891_RNA_merged_rRNA.nr_v132","BRC1","BRC1_cl","BRC1_or","BRC1_fa","BRC1_ge",NA,1
"123","FS891_RNA_merged_rRNA.nr_v132","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum",NA,1050
"124","FS891_RNA_merged_rRNA.nr_v132","Calditrichaeota","Calditrichia","Calditrichales","Calditrichaceae","SM23-31",NA,1
"125","FS891_RNA_merged_rRNA.nr_v132","Cercozoa","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified","Cercozoa_unclassified",NA,146
"126","FS891_RNA_merged_rRNA.nr_v132","Cercozoa","Phytomyxea","Phytomyxea_or","Phytomyxea_fa","Plasmodiophora",NA,29
"127","FS891_RNA_merged_rRNA.nr_v132","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiales_unclassified","Chlamydiales_unclassified",NA,7
"128","FS891_RNA_merged_rRNA.nr_v132","Chlamydiae","Chlamydiae_unclassified","Chlamydiae_unclassified","Chlamydiae_unclassified","Chlamydiae_unclassified",NA,27
"129","FS891_RNA_merged_rRNA.nr_v132","Chlamydiae","LD1-PA32","LD1-PA32_or","LD1-PA32_fa","LD1-PA32_ge",NA,1
"130","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Anaerolineae_unclassified","Anaerolineae_unclassified","Anaerolineae_unclassified",NA,871
"131","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified",NA,409
"132","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","GWD2-49-16",NA,3
"133","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Thermanaerothrix",NA,1
"134","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Thermomarinilinea",NA,7113
"135","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",NA,18
"136","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured_ge",NA,33
"137","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured",NA,13
"138","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","SBR1031","SBR1031_fa","SBR1031_ge",NA,39
"139","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Anaerolineae","SJA-15","SJA-15_fa","SJA-15_ge",NA,518
"140","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",NA,300
"141","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Dehalococcoidia","Dehalococcoidia_unclassified","Dehalococcoidia_unclassified","Dehalococcoidia_unclassified",NA,91
"142","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade_fa","SAR202_clade_ge",NA,7751
"143","FS891_RNA_merged_rRNA.nr_v132","Chloroflexi","KD4-96","KD4-96_or","KD4-96_fa","KD4-96_ge",NA,21
"144","FS891_RNA_merged_rRNA.nr_v132","Chlorophyta_ph","Chlorophyta_ph_unclassified","Chlorophyta_ph_unclassified","Chlorophyta_ph_unclassified","Chlorophyta_ph_unclassified",NA,27
"145","FS891_RNA_merged_rRNA.nr_v132","Chlorophyta_ph","Mamiellophyceae","Mamiellales","Mamiellales_fa","Mamiellales_fa_unclassified",NA,2
"146","FS891_RNA_merged_rRNA.nr_v132","Choanoflagellida","Acanthoecida","Stephanoecidae","Stephanoecidae_fa","Marine_Choanoflagellates_1",NA,7
"147","FS891_RNA_merged_rRNA.nr_v132","Choanoflagellida","Choanoflagellida_unclassified","Choanoflagellida_unclassified","Choanoflagellida_unclassified","Choanoflagellida_unclassified",NA,2
"148","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Ciliophora_unclassified","Ciliophora_unclassified","Ciliophora_unclassified","Ciliophora_unclassified",NA,35
"149","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Conthreep","Conthreep_unclassified","Conthreep_unclassified",NA,422
"150","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea","Dexiotricha",NA,67
"151","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea","Homalogastra",NA,9
"152","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea","Oligohymenophorea_unclassified",NA,1477
"153","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea","Pseudocohnilembus",NA,36
"154","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Conthreep","Phyllopharyngea","Phyllopharyngea_unclassified",NA,2
"155","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Intramacronucleata_unclassified","Intramacronucleata_unclassified","Intramacronucleata_unclassified",NA,915
"156","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Choreotrichia","Choreotrichia_unclassified",NA,43
"157","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Choreotrichia","uncultured",NA,113
"158","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Euplotia_unclassified",NA,21
"159","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Holosticha",NA,241
"160","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Hypotrichia_unclassified",NA,31
"161","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Oligotrichia_unclassified",NA,6
"162","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Spirostrombidium",NA,7
"163","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Oligotrichia","Strombidium",NA,6
"164","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Intramacronucleata","Spirotrichea","Spirotrichea_unclassified","Spirotrichea_unclassified",NA,582
"165","FS891_RNA_merged_rRNA.nr_v132","Ciliophora","Postciliodesmatophora","Heterotrichea","Heterotrichea_fa","Condylostoma",NA,3
"166","FS891_RNA_merged_rRNA.nr_v132","Cloacimonetes","Cloacimonadia","Cloacimonadales","Cloacimonadales_unclassified","Cloacimonadales_unclassified",NA,45
"167","FS891_RNA_merged_rRNA.nr_v132","Cloacimonetes","Cloacimonadia","Cloacimonadales","MSBL8","MSBL8_ge",NA,24
"168","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Cnidaria_unclassified","Cnidaria_unclassified","Cnidaria_unclassified","Cnidaria_unclassified",NA,67
"169","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Hydrozoa","Anthoathecata","Anthoathecata_fa","Anthoathecata_ge",NA,3
"170","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Hydrozoa","Hydrozoa_unclassified","Hydrozoa_unclassified","Hydrozoa_unclassified",NA,590
"171","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Hydrozoa","Leptothecata","Leptothecata_fa","Leptothecata_ge",NA,109
"172","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Hydrozoa","Narcomedusae","Narcomedusae_fa","Narcomedusae_ge",NA,25
"173","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Hydrozoa","Siphonophorae","Siphonophorae_fa","Siphonophorae_ge",NA,149
"174","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Hydrozoa","Trachymedusae","Trachymedusae_fa","Trachymedusae_ge",NA,30
"175","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Scyphozoa","Rhizostomeae","Rhizostomeae_fa","Rhizostomeae_ge",NA,5
"176","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Scyphozoa","Scyphozoa_unclassified","Scyphozoa_unclassified","Scyphozoa_unclassified",NA,3868
"177","FS891_RNA_merged_rRNA.nr_v132","Cnidaria","Scyphozoa","Semaeostomeae","Semaeostomeae_fa","Semaeostomeae_ge",NA,4283
"178","FS891_RNA_merged_rRNA.nr_v132","Coprothermobacteraeota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae","Coprothermobacter",NA,131
