,Vent.Site,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts
52,Marker 113,Latescibacteria,Latescibacteria_cl,Latescibacteria_or,Latescibacteria_fa,Latescibacteria_ge,NA,3
53,Marker 113,Nanoarchaeaeota,Nanoarchaeia,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,NA,2
54,Marker 113,Nanoarchaeaeota,Nanoarchaeia,Nanoarchaeales,Nanoarchaeales_unclassified,Nanoarchaeales_unclassified,NA,1
55,Marker 113,Omnitrophicaeota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus,NA,1
56,Marker 113,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,NA,1
57,Marker 113,Phragmoplastophyta,Embryophyta,Cucurbitales,Cucurbitales_fa,Cucumis,NA,1
58,Marker 113,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,NA,1
59,Marker 113,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,NA,1
60,Marker 113,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,NA,2
61,Marker 113,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,NA,1
62,Marker 113,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacteriaceae_unclassified,NA,6
63,Marker 113,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,NA,1
64,Marker 113,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,NA,1
65,Marker 113,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,NA,1
66,Marker 113,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,2
67,Marker 113,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,NA,13
68,Marker 113,Thermosulfidibacteraeota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,Thermosulfidibacter,NA,12
69,Marker 113,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,NA,1
70,Anenome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,4
71,Anenome,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacteriaceae_unclassified,NA,1
72,Anenome,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,NA,2
73,Anenome,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA,1
74,Anenome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,39221
75,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,148491
76,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,297090
77,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,NA,3
78,Anenome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,6475
79,Anenome,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,NA,127
80,Anenome,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,NA,79
81,Anenome,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,NA,95
82,Anenome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,211807
83,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,1437
84,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,2113542
85,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,936070
86,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,250690
87,Anenome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,8
88,Anenome,Ascomycota,Eurotiomycetes,Eurotiales,Eurotiales_unclassified,Eurotiales_unclassified,NA,5
89,Anenome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,673677
90,Anenome,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,cvE6_ge,NA,2
91,Anenome,Chloroflexi,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,NA,3
92,Anenome,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,2
93,Anenome,Dependentiae,Babeliae,Babeliales,UBA12409,UBA12409_ge,NA,2
94,Anenome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,19
95,Anenome,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,38189
96,Anenome,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,NA,4
97,Anenome,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,NA,3
98,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,NA,127
99,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,NA,9
100,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,NA,30
101,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,NA,3
102,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,NA,28
103,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,NA,69
104,Anenome,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,NA,1
105,Anenome,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,NA,2
106,Anenome,Mollusca,Gastropoda,Gastropoda_unclassified,Gastropoda_unclassified,Gastropoda_unclassified,NA,5
107,Anenome,Patescibacteria,ABY1,ABY1_unclassified,ABY1_unclassified,ABY1_unclassified,NA,3
108,Anenome,Patescibacteria,Microgenomatia,Candidatus_Roizmanbacteria,Candidatus_Roizmanbacteria_fa,Candidatus_Roizmanbacteria_ge,NA,7
109,Anenome,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria_fa,Candidatus_Kaiserbacteria_ge,NA,1
110,Anenome,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria_fa,Candidatus_Nomurabacteria_ge,NA,4
111,Anenome,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,NA,9
112,Anenome,Patescibacteria,Patescibacteria_unclassified,Patescibacteria_unclassified,Patescibacteria_unclassified,Patescibacteria_unclassified,NA,1
113,Anenome,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales_fa,Saccharimonadales_ge,NA,1
114,Anenome,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA,1
115,Anenome,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,NA,53
116,Anenome,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae_unclassified,NA,13
117,Anenome,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,NA,33
118,Anenome,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified,NA,1
119,Anenome,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,NA,51
120,Anenome,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,NA,404
121,Anenome,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,NA,1
122,Anenome,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA,8
123,Anenome,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified,NA,4
124,Anenome,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,NA,6
125,Anenome,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA,53
126,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,NA,21
127,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,27
128,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,NA,73
129,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pandoraea,NA,5
130,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,NA,8
131,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,NA,3
132,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,NA,1
133,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Chromobacteriaceae,Aquitalea,NA,1
134,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Chromobacteriaceae,Chromobacteriaceae_unclassified,NA,1
135,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Uliginosibacterium,NA,2
136,Anenome,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionales_unclassified,Cellvibrionales_unclassified,NA,2
137,Anenome,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,NA,2
138,Anenome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,82
139,Anenome,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,NA,4
140,Anenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonadaceae_unclassified,NA,134
141,Anenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA,159
142,Anenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salinicola,NA,3
143,Anenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Terasakiispira,NA,2
144,Anenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales_unclassified,Oceanospirillales_unclassified,NA,1
145,Anenome,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,2
146,Anenome,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,7
147,Anenome,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales_unclassified,Xanthomonadales_unclassified,NA,1
148,Anenome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,10
149,Anenome,Vertebrata,Mammalia,Mammalia_or,Mammalia_fa,Mammalia_ge,NA,1
150,Anenome,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,NA,1
151,Anenome,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacteriaceae_unclassified,NA,1
152,Anenome,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna,NA,4
153,Anenome,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacteriaceae_unclassified,NA,4
154,Anenome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,45083
155,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,146988
156,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,306945
157,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,NA,1
158,Anenome,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,NA,3
159,Anenome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,7648
160,Anenome,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,NA,10
161,Anenome,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,NA,5
162,Anenome,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,NA,11
163,Anenome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,248838
164,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,1197
165,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,2224555
166,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,874110
167,Anenome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,240401
168,Anenome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,12
169,Anenome,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,3
170,Anenome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,660816
171,Anenome,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,NA,1
172,Anenome,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagales_unclassified,Cytophagales_unclassified,NA,3
173,Anenome,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,NA,4
174,Anenome,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,NA,2
175,Anenome,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,1
176,Anenome,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,NA,4
177,Anenome,Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiales_unclassified,Chlamydiales_unclassified,NA,4
178,Anenome,Crenarchaeota,Thermoprotei,Desulfurococcales,Ignicoccaceae,Ignicoccus,NA,2
179,Anenome,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,NA,1
180,Anenome,Crenarchaeota,Thermoprotei,Thermoprotei_unclassified,Thermoprotei_unclassified,Thermoprotei_unclassified,NA,1
181,Anenome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,22
182,Anenome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,2
183,Anenome,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,39964
184,Anenome,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,NA,1
185,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,NA,92
186,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,NA,6
187,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,NA,15
188,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,NA,34
189,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,NA,94
190,Anenome,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,NA,5
191,Anenome,Omnitrophicaeota,Omnitrophicaeota_cl,Omnitrophicaeota_or,Omnitrophicaeota_fa,Omnitrophicaeota_ge,NA,1
192,Anenome,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria_fa,Candidatus_Adlerbacteria_ge,NA,2
193,Anenome,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria_fa,Candidatus_Kaiserbacteria_ge,NA,1
194,Anenome,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,NA,7
195,Anenome,Planctomycetes,Planctomycetacia,Planctomycetacia_unclassified,Planctomycetacia_unclassified,Planctomycetacia_unclassified,NA,1
196,Anenome,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,NA,55
197,Anenome,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae_unclassified,NA,14
198,Anenome,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,NA,48
199,Anenome,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,NA,2
200,Anenome,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,NA,2
201,Anenome,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified,NA,30
202,Anenome,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,NA,406
203,Anenome,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA,1
204,Anenome,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified,NA,1
205,Anenome,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales_unclassified,Alteromonadales_unclassified,NA,9
206,Anenome,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,NA,16
207,Anenome,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarinaceae_unclassified,NA,2
208,Anenome,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA,65
209,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,NA,10
210,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,15
211,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,NA,48
212,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,NA,1
213,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,NA,6
214,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,NA,4
215,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,NA,3
216,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,NA,5
217,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseriaceae_unclassified,NA,1
218,Anenome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,uncultured,NA,1
219,Anenome,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cedecea,NA,1
220,Anenome,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,NA,5
221,Anenome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,78
222,Anenome,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,NA,14
223,Anenome,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophagaceae_unclassified,NA,1
224,Anenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonadaceae_unclassified,NA,101
