,Temperature,Phylum,Class,Order,Family,Genus,Count,Normalized.Counts,Normalized.Counts,9435895,
194,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,3992,2.65713506,2.65713506,,
200,Metatranscriptome,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_unclassified,673,0.447958892,0.447958892,,
246,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,2657,1.768539042,1.768539042,,
249,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,3611,2.403535747,2.403535747,,
257,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,7423,4.940860108,4.940860108,,
261,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,5392,3.588996053,3.588996053,,
263,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1934,1.2872994,1.2872994,,
264,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,5027,3.34604658,3.34604658,,
265,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1368,0.910561313,0.910561313,,
276,Metatranscriptome,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_unclassified,7410,4.932207113,4.932207113,,
304,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,SAR406,1204,0.801400454,0.801400454,,
365,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,528,0.351444717,0.351444717,,
370,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithrix,757,0.503870551,0.503870551,,
380,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1558,1.037028162,1.037028162,,
385,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,1011,0.67293676,0.67293676,,
390,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,529,0.352110332,0.352110332,,
397,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,1685,1.121561267,1.121561267,,
413,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,2055,1.367838815,1.367838815,,
415,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,4001,2.663125595,2.663125595,,
417,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,6226,4.144118959,4.144118959,,
418,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriales_unclassified,Corynebacteriales_unclassified,559,0.372078782,0.372078782,,
432,Metatranscriptome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1567,1.043018697,1.043018697,,
433,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,1156,0.769450934,0.769450934,,
434,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,2518,1.676018557,1.676018557,,
435,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,1750,1.164826241,1.164826241,,
436,Metatranscriptome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1173,0.780766389,0.780766389,,
438,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,3155,2.100015309,2.100015309,,
439,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,586,0.390050387,0.390050387,,
440,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,1159,0.771447779,0.771447779,,
441,Metatranscriptome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,507,0.337466802,0.337466802,,
448,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,9284,6.179569613,6.179569613,,
504,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,1557,1.036362547,1.036362547,,
506,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,2195,1.461024914,1.461024914,,
515,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,1136,0.756138634,0.756138634,,
516,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,4583,3.050513522,3.050513522,,
519,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,1096,0.729514034,0.729514034,,
520,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,3256,2.167242424,2.167242424,,
523,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1212,0.806725374,0.806725374,,
524,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,4100,2.729021479,2.729021479,,
556,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,912,0.607040875,0.607040875,,
558,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,678,0.451286967,0.451286967,,
562,Metatranscriptome,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,587,0.390716002,0.390716002,,
572,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,SAR406,553,0.368085092,0.368085092,,
648,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1635,1.088280517,1.088280517,,
661,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,3052,2.031456965,2.031456965,,
662,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,3797,2.527340136,2.527340136,,
669,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,568,0.378069317,0.378069317,,
689,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,974,0.648309005,0.648309005,,
691,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,2173,1.446381384,1.446381384,,
693,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,2715,1.807144711,1.807144711,,
709,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,1253,0.834015589,0.834015589,,
712,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,1204,0.801400454,0.801400454,,
721,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,3648,2.428163502,2.428163502,,
773,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,563,0.374741242,0.374741242,,
774,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1207,0.803397299,0.803397299,,
783,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,512,0.340794877,0.340794877,,
784,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,2212,1.472340369,1.472340369,,
787,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,1530,1.018390942,1.018390942,,
790,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,510,0.339463647,0.339463647,,
791,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,1897,1.262671645,1.262671645,,
819,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,570,0.379400547,0.379400547,,
906,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,695,0.462602422,0.462602422,,
917,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,1417,0.943176448,0.943176448,,
918,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,1800,1.198106991,1.198106991,,
925,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,616,0.410018837,0.410018837,,
940,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,582,0.387387927,0.387387927,,
965,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,749,0.498545631,0.498545631,,
1140,Anenome - 30C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,586,0.008038812,0.008038812,,7289634
1141,Anenome - 30C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,227,0.003114011,0.003114011,,
1147,Anenome - 30C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,261652,3.589370879,3.589370879,,
1174,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,492,0.00674931,0.00674931,,
1177,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,85438,1.17204787,1.17204787,,
1179,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,519,0.007119699,0.007119699,,
1183,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,23062,0.316367049,0.316367049,,
1184,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,541,0.007421497,0.007421497,,
1185,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,810,0.011111669,0.011111669,,
1188,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,465,0.006378921,0.006378921,,
1189,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,541,0.007421497,0.007421497,,
1190,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,1379,0.018917273,0.018917273,,
1192,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,503871,6.91215773,6.91215773,,
1193,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,5431,0.074503055,0.074503055,,
1195,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,389725,5.346290362,5.346290362,,
1196,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,371715,5.099227204,5.099227204,,
1197,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,723,0.009918193,0.009918193,,
1198,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,5364,0.073583941,0.073583941,,
1199,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,363,0.004979674,0.004979674,,
1200,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,97551,1.338215334,1.338215334,,
1201,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,2828444,38.8009055,38.8009055,,
1202,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,7300,0.100142202,0.100142202,,
1204,Anenome - 30C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,1368,0.018766374,0.018766374,,
1273,Anenome - 30C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,239,0.003278628,0.003278628,,
1316,Anenome - 30C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,110980,1.522435831,1.522435831,,
1334,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,8687,0.11916922,0.11916922,,
1337,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,942,0.012922459,0.012922459,,
1339,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,176,0.002414387,0.002414387,,
1344,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,16701,0.229106153,0.229106153,,
1346,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,137197,1.882083517,1.882083517,,
1347,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,857672,11.76563871,11.76563871,,
1349,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,992,0.013608365,0.013608365,,
1351,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,147195,2.01923718,2.01923718,,
1352,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,1419848,19.47763084,19.47763084,,
1353,Anenome - 30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,838,0.011495776,0.011495776,,
1354,Anenome - 30C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,600,0.008230866,0.008230866,,
1451,Anenome - 55C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,283,0.001677964,0.001677964,,16865676
1456,Anenome - 55C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,329,0.001950707,0.001950707,,
1461,Anenome - 55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,624880,3.705039751,3.705039751,,
1506,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,10698,0.063430603,0.063430603,,
1511,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,11651,0.069081133,0.069081133,,
1512,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,396,0.002347964,0.002347964,,
1513,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,4694,0.027831674,0.027831674,,
1518,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,1406,0.008336458,0.008336458,,
1520,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,95803,0.56803534,0.56803534,,
1521,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,11114980,65.90296173,65.90296173,,
1522,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,19098,0.1132359,0.1132359,,
1523,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,44521,0.263974003,0.263974003,,
1524,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,2947,0.017473358,0.017473358,,
1525,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,1772326,10.50847888,10.50847888,,
1526,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,10304,0.061094497,0.061094497,,
1527,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,70355,0.417149007,0.417149007,,
1529,Anenome - 55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,4731,0.028051055,0.028051055,,
1627,Anenome - 55C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1730,0.010257519,0.010257519,,
1641,Anenome - 55C,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,1179,0.006990529,0.006990529,,
1662,Anenome - 55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,125617,0.744808569,0.744808569,,
1671,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,507774,3.01069462,3.01069462,,
1674,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,349967,2.075025039,2.075025039,,
1676,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,143932,0.853401903,0.853401903,,
1682,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,160,0.000948672,0.000948672,,
1683,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,46447,0.275393646,0.275393646,,
1684,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,1658396,9.832964893,9.832964893,,
1688,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,240196,1.424170605,1.424170605,,
1689,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,283,0.001677964,0.001677964,,
1691,Anenome - 55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,593,0.003516017,0.003516017,,
