,Temperature,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts,
1522,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,NA,1.061689508,
1523,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,2.474996261,
1524,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,NA,0.16382862,
1525,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,98.52654307,
1526,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.572816457,
1527,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,3.911151187,
1529,Anenome - 55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.26300414,
1531,Anenome - 55C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,39.35350236,
1627,Anenome - 55C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.096173571,
1641,Anenome - 55C,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.065542566,
1662,Anenome - 55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,6.98325746,
1671,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,28.22799918,
1674,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,19.45524621,
1676,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,NA,8.001418699,
1683,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,2.582065797,
1684,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,92.19298533,
1688,Anenome - 55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,13.35289419,
1691,Anenome - 55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.032965854,
1692,Anenome - 55C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,19.78940768, 
5,Anenome - 80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.412243206,
6,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,1.560755868,
7,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,3.1226469,
9,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.068057285,
13,Anenome - 80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,2.226256259,
14,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,0.015103987,
15,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,22.21496979,
16,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,9.838823533,
17,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,2.634946822,
20,Anenome - 80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,7.080869082,
26,Anenome - 80C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,0.401396084,
51,Anenome - 80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,NA,0.004246354,
85,Anenome - 80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.473857384,
86,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,1.544958169,
87,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,3.226230612,
90,Anenome - 80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.080386427,
94,Anenome - 80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,2.615480862,
95,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,0.012581401,
96,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,23.38180273,
97,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,9.187575756,
98,Anenome - 80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,2.526801432,
101,Anenome - 80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,6.945689972,
114,Anenome - 80C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,0.420052714,
133,Anenome - 80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,NA,0.004267376, 
169,Metatranscriptome,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA,0.059838423,
174,Metatranscriptome,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.118743953,
176,Metatranscriptome,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,4.401522481,
178,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,0.317849975,
179,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,0.399678019,
183,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.270405702,
184,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,0.099952822,
185,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,0.103817665,
186,Metatranscriptome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,0.146064391,
190,Metatranscriptome,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae_unclassified,NA,0.042379997,
194,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,0.532015555,
197,Metatranscriptome,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,0.049976411,
200,Metatranscriptome,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,NA,0.089690999,
215,Metatranscriptome,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,NA,0.035183393,
219,Metatranscriptome,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,NA,0.040514211,
229,Metatranscriptome,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Oligotrichia_unclassified,NA,0.059438612,
231,Metatranscriptome,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified,NA,0.124607852,
234,Metatranscriptome,Cnidaria,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Hydrozoa_unclassified,NA,0.051842197,
235,Metatranscriptome,Cnidaria,Hydrozoa,Narcomedusae,Narcomedusae_fa,Narcomedusae_ge,NA,0.173251559,
236,Metatranscriptome,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae_fa,Siphonophorae_ge,NA,0.056773203,
246,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.354099532,
249,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.481239522,
251,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,0.053974524,
256,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.042779808,
257,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.9892664,
261,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,0.718594157,
263,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,0.257745011,
264,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.66995045,
265,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.182313948,
269,Metatranscriptome,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,51.6729437,
276,Metatranscriptome,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,NA,0.987533884,
287,Metatranscriptome,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,NA,0.066235404,
294,Metatranscriptome,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,NA,0.044778864,
303,Metatranscriptome,Margulisbacteria,Margulisbacteria_cl,Margulisbacteria_or,Margulisbacteria_fa,Margulisbacteria_ge,NA,0.060504775,
304,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,NA,0.160457597,
307,Metatranscriptome,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,NA,0.211366901,
308,Metatranscriptome,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,NA,0.042113456,
321,Metatranscriptome,Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,NA,0.066235404,
330,Metatranscriptome,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,NA,0.044379053,
334,Metatranscriptome,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_ge,NA,0.068900812,
350,Metatranscriptome,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,NA,0.053174901,
352,Metatranscriptome,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,NA,0.061437668,
357,Metatranscriptome,Proteobacteria,Deltaproteobacteria,Myxococcales,VHS-B3-70,VHS-B3-70_ge,NA,0.045045405,
365,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,NA,0.070366787,
370,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithrix,NA,0.100885715,
375,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Tepidimonas,NA,0.054241065,
380,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.207635329,
382,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,0.052508549,
385,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA,0.134736404,
386,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,NA,0.048510436,
390,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.070500057,
397,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,NA,0.224560674,
403,Metatranscriptome,Tunicata,Thaliacea,Salpida,Salpida_fa,Salpida_ge,NA,0.125140933,
406,Metatranscriptome,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,NA,0.06503597,
413,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,0.273870733,
415,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,NA,0.533214989,
417,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,NA,0.829741695,
418,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriales_unclassified,Corynebacteriales_unclassified,NA,0.07449817,
429,Metatranscriptome,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.776033712,
431,Metatranscriptome,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,2.49348974,
432,Metatranscriptome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.208834763,
433,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,0.154060617,
434,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,0.335574942,
435,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.233223252,
436,Metatranscriptome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.156326214,
438,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.420468206,
439,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,0.078096472,
440,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,0.154460428,
441,Metatranscriptome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,0.067568108,
448,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,1.237282669,
475,Metatranscriptome,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,NA,0.061704209,
504,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.207502059,
506,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.292528593,
515,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.151395208,
516,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.610778379,
519,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.146064391,
520,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,0.433928519,
523,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,0.161523761,
524,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.546408762,
525,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.06836773,
530,Metatranscriptome,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,8.335532295,
541,Metatranscriptome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,NA,0.040514211,
542,Metatranscriptome,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,NA,0.050242952,
556,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA,0.121542632,
558,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,NA,0.090357351,
562,Metatranscriptome,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,NA,0.078229742,
572,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,NA,0.073698548,
575,Metatranscriptome,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,NA,0.408740408,
594,Metatranscriptome,Planctomycetes,Pla3_lineage,Pla3_lineage_or,Pla3_lineage_fa,Pla3_lineage_ge,NA,0.049976411,
648,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.217897153,
661,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA,0.406741351,
662,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,NA,0.506027822,
669,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.075697604,
675,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,NA,0.16752093,
689,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,0.129805399,
691,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,NA,0.289596644,
693,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,NA,0.361829217,
705,Metatranscriptome,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.872921314,
706,Metatranscriptome,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,1.436788502,
707,Metatranscriptome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.05890553,
708,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,0.041047292,
709,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,0.166987848,
710,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.039448047,
711,Metatranscriptome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.040647481,
712,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.160457597,
713,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,0.026387545,
