,Temperature,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts,
1347,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,10.04693643,
1349,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,0.011620481,
1351,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,1.724270827,
1352,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,16.63237532,
1353,Anenome_2014_30C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.009816495,
1354,Anenome_2014_30C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.007028517,
1355,Anenome_2014_30C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,5.028845032,
1456,Anenome_2014_55C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.001828966,
1461,Anenome_2014_55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,3.473811603,
1506,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.059471957,
1511,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,0.064769842,
1512,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,NA,0.00220143,
1513,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,NA,0.026094725,
1518,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.007816187,
1520,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.532584773,
1521,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,61.79001807,
1522,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,NA,0.106168951,
1523,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,NA,0.247499626,
1524,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,NA,0.016382862,
1525,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,9.852654307,
1526,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.057281646,
1527,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.391115119,
1529,Anenome_2014_55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.026300414,
1531,Anenome_2014_55C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,3.935350236,
1627,Anenome_2014_55C,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.009617357,
1641,Anenome_2014_55C,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.006554257,
1662,Anenome_2014_55C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,0.698325746,
1671,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,2.822799918,
1674,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,1.945524621,
1676,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,NA,0.80014187,
1683,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.25820658,
1684,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,9.219298533,
1688,Anenome_2014_55C,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,1.335289419,
1691,Anenome_2014_55C,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.003296585,
1692,Anenome_2014_55C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,1.978940768,
5,Anenome_2014_80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.412243206,
6,Anenome_2014_80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,1.560755868,
7,Anenome_2014_80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,3.1226469,
9,Anenome_2014_80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.068057285,
13,Anenome_2014_80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,2.226256259,
14,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,0.015103987,
15,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,22.21496979,
16,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,9.838823533,
17,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,2.634946822,
20,Anenome_2014_80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,7.080869082,
26,Anenome_2014_80C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,0.401396084,
51,Anenome_2014_80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,NA,0.004246354,
85,Anenome_2014_80C,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.473857384,
86,Anenome_2014_80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,1.544958169,
87,Anenome_2014_80C,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,3.226230612,
90,Anenome_2014_80C,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.080386427,
94,Anenome_2014_80C,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,2.615480862,
95,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,NA,0.012581401,
96,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,23.38180273,
97,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,9.187575756,
98,Anenome_2014_80C,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,2.526801432,
101,Anenome_2014_80C,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,6.945689972,
114,Anenome_2014_80C,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,0.420052714,
133,Anenome_2014_80C,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,NA,0.004267376, 
169,Metatranscriptome_2014,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA,0.059838423,
174,Metatranscriptome_2014,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.118743953,
176,Metatranscriptome_2014,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,4.401522481,
178,Metatranscriptome_2014,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,0.317849975,
179,Metatranscriptome_2014,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,0.399678019,
183,Metatranscriptome_2014,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.270405702,
184,Metatranscriptome_2014,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,0.099952822,
185,Metatranscriptome_2014,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,0.103817665,
186,Metatranscriptome_2014,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,0.146064391,
190,Metatranscriptome_2014,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae_unclassified,NA,0.042379997,
194,Metatranscriptome_2014,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,0.532015555,
197,Metatranscriptome_2014,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,0.049976411,
200,Metatranscriptome_2014,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,NA,0.089690999,
215,Metatranscriptome_2014,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,NA,0.035183393,
219,Metatranscriptome_2014,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,NA,0.040514211,
229,Metatranscriptome_2014,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Oligotrichia_unclassified,NA,0.059438612,
231,Metatranscriptome_2014,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified,NA,0.124607852,
234,Metatranscriptome_2014,Cnidaria,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Hydrozoa_unclassified,NA,0.051842197,
235,Metatranscriptome_2014,Cnidaria,Hydrozoa,Narcomedusae,Narcomedusae_fa,Narcomedusae_ge,NA,0.173251559,
236,Metatranscriptome_2014,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae_fa,Siphonophorae_ge,NA,0.056773203,
246,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.354099532,
249,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.481239522,
251,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,NA,0.053974524,
256,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.042779808,
257,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.9892664,
261,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,0.718594157,
263,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,0.257745011,
264,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.66995045,
265,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.182313948,
269,Metatranscriptome_2014,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,51.6729437,
276,Metatranscriptome_2014,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,NA,0.987533884,
287,Metatranscriptome_2014,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,NA,0.066235404,
294,Metatranscriptome_2014,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,NA,0.044778864,
303,Metatranscriptome_2014,Margulisbacteria,Margulisbacteria_cl,Margulisbacteria_or,Margulisbacteria_fa,Margulisbacteria_ge,NA,0.060504775,
304,Metatranscriptome_2014,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,NA,0.160457597,
307,Metatranscriptome_2014,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,NA,0.211366901,
308,Metatranscriptome_2014,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,NA,0.042113456,
321,Metatranscriptome_2014,Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,NA,0.066235404,
330,Metatranscriptome_2014,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,NA,0.044379053,
334,Metatranscriptome_2014,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_ge,NA,0.068900812,
350,Metatranscriptome_2014,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,NA,0.053174901,
352,Metatranscriptome_2014,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,NA,0.061437668,
357,Metatranscriptome_2014,Proteobacteria,Deltaproteobacteria,Myxococcales,VHS-B3-70,VHS-B3-70_ge,NA,0.045045405,
365,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,NA,0.070366787,
370,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithrix,NA,0.100885715,
375,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Tepidimonas,NA,0.054241065,
380,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.207635329,
382,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,0.052508549,
385,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA,0.134736404,
386,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,NA,0.048510436,
390,Metatranscriptome_2014,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.070500057,
397,Metatranscriptome_2014,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,NA,0.224560674,
403,Metatranscriptome_2014,Tunicata,Thaliacea,Salpida,Salpida_fa,Salpida_ge,NA,0.125140933,
406,Metatranscriptome_2014,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,NA,0.06503597,
413,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,0.273870733,
415,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,NA,0.533214989,
417,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,NA,0.829741695,
418,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriales_unclassified,Corynebacteriales_unclassified,NA,0.07449817,
429,Metatranscriptome_2014,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.776033712,
431,Metatranscriptome_2014,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,2.49348974,
432,Metatranscriptome_2014,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.208834763,
433,Metatranscriptome_2014,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,NA,0.154060617,
434,Metatranscriptome_2014,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,NA,0.335574942,
435,Metatranscriptome_2014,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,NA,0.233223252,
436,Metatranscriptome_2014,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,NA,0.156326214,
438,Metatranscriptome_2014,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,NA,0.420468206,
439,Metatranscriptome_2014,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,NA,0.078096472,
440,Metatranscriptome_2014,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,0.154460428,
441,Metatranscriptome_2014,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,NA,0.067568108,
448,Metatranscriptome_2014,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,1.237282669,
475,Metatranscriptome_2014,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,NA,0.061704209,
504,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.207502059,
506,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.292528593,
515,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.151395208,
516,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.610778379,
519,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.146064391,
520,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,0.433928519,
523,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,0.161523761,
524,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.546408762,
525,Metatranscriptome_2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.06836773,
530,Metatranscriptome_2014,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,8.335532295,
541,Metatranscriptome_2014,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,NA,0.040514211,
542,Metatranscriptome_2014,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,NA,0.050242952,
556,Metatranscriptome_2014,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA,0.121542632,
558,Metatranscriptome_2014,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,NA,0.090357351,
562,Metatranscriptome_2014,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,NA,0.078229742,
572,Metatranscriptome_2014,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,NA,0.073698548,
575,Metatranscriptome_2014,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,NA,0.408740408,
594,Metatranscriptome_2014,Planctomycetes,Pla3_lineage,Pla3_lineage_or,Pla3_lineage_fa,Pla3_lineage_ge,NA,0.049976411,
648,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.217897153,
661,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA,0.406741351,
662,Metatranscriptome_2014,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,NA,0.506027822,
669,Metatranscriptome_2014,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.075697604,
675,Metatranscriptome_2014,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,NA,0.16752093,
689,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,NA,0.129805399,
691,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,NA,0.289596644,
693,Metatranscriptome_2014,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,NA,0.361829217,
705,Metatranscriptome_2014,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.872921314,
706,Metatranscriptome_2014,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,1.436788502,
